No,명칭,원문,주소,정규화주소,위도(lat),경도(lng),매칭주소,도로명주소,지번주소,네이버지도검색URL,상태,비고,중복여부
50,,전남 해남군 문내면 학동리 산26-6,전남 해남군 문내면 학동리 산26-6,전라남도 해남군 문내면 학동리 산26-6,34.5776856121222,126.310047793107,전남 해남군 문내면 학동리 산 26-6,,전남 해남군 문내면 학동리 산 26-6,https://map.naver.com/p/search/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%ED%95%B4%EB%82%A8%EA%B5%B0%20%EB%AC%B8%EB%82%B4%EB%A9%B4%20%ED%95%99%EB%8F%99%EB%A6%AC%20%EC%82%B026-6,성공,,
51,,전남 함평군 엄다면 송로리 산69-11,전남 함평군 엄다면 송로리 산69-11,전라남도 함평군 엄다면 송로리 산69-11,35.0101171064115,126.508232704842,전남 함평군 엄다면 송로리 산 69-11,전남 함평군 엄다면 영산로 3208,전남 함평군 엄다면 송로리 산 69-11,https://map.naver.com/p/search/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%ED%95%A8%ED%8F%89%EA%B5%B0%20%EC%97%84%EB%8B%A4%EB%A9%B4%20%EC%86%A1%EB%A1%9C%EB%A6%AC%20%EC%82%B069-11,성공,,
52,,전남 함평군 학교면 곡창리 771-11,전남 함평군 학교면 곡창리 771-11,전라남도 함평군 학교면 곡창리 771-11,34.9949528763688,126.538206273191,전남 함평군 학교면 곡창리 771-11,,전남 함평군 학교면 곡창리 771-11,https://map.naver.com/p/search/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%ED%95%A8%ED%8F%89%EA%B5%B0%20%ED%95%99%EA%B5%90%EB%A9%B4%20%EA%B3%A1%EC%B0%BD%EB%A6%AC%20771-11,성공,,
53,,경기 안산시 상록구 장하동 151,경기 안산시 상록구 장하동 151,경기도 안산시 상록구 장하동 151,37.3548101798295,126.862912139353,경기 안산시 상록구 장하동 151,경기 안산시 상록구 장하로 141-2,경기 안산시 상록구 장하동 151,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%82%B0%EC%8B%9C%20%EC%83%81%EB%A1%9D%EA%B5%AC%20%EC%9E%A5%ED%95%98%EB%8F%99%20151,성공,,
54,,충남 당진시 석문면 초락도리 543-2,충남 당진시 석문면 초락도리 543-2,충청남도 당진시 석문면 초락도리 543-2,37.0068621010937,126.470911000408,충남 당진시 석문면 초락도리 543-2,,충남 당진시 석문면 초락도리 543-2,https://map.naver.com/p/search/%EC%B6%A9%EC%B2%AD%EB%82%A8%EB%8F%84%20%EB%8B%B9%EC%A7%84%EC%8B%9C%20%EC%84%9D%EB%AC%B8%EB%A9%B4%20%EC%B4%88%EB%9D%BD%EB%8F%84%EB%A6%AC%20543-2,성공,,
55,,대구 달성군 다사읍 문산리 4-5,대구 달성군 다사읍 문산리 4-5,대구광역시 달성군 다사읍 문산리 4-5,35.8637237133945,128.428330436597,대구 달성군 다사읍 문산리 4-5,대구 달성군 다사읍 달구벌대로 377,대구 달성군 다사읍 문산리 4-5,https://map.naver.com/p/search/%EB%8C%80%EA%B5%AC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EB%8B%AC%EC%84%B1%EA%B5%B0%20%EB%8B%A4%EC%82%AC%EC%9D%8D%20%EB%AC%B8%EC%82%B0%EB%A6%AC%204-5,성공,,
56,,경북 칠곡군 약목면 무림리 580-7,경북 칠곡군 약목면 무림리 580-7,경상북도 칠곡군 약목면 무림리 580-7,36.0278867712383,128.375468303232,경북 칠곡군 약목면 무림리 580-7,경북 칠곡군 약목면 칠곡대로 781,경북 칠곡군 약목면 무림리 580-7,https://map.naver.com/p/search/%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%20%EC%B9%A0%EA%B3%A1%EA%B5%B0%20%EC%95%BD%EB%AA%A9%EB%A9%B4%20%EB%AC%B4%EB%A6%BC%EB%A6%AC%20580-7,성공,,
57,,경기 과천시 문원동 14-13,경기 과천시 문원동 14-13,경기도 과천시 문원동 14-13,37.4303571776106,127.001686636665,경기 과천시 문원동 14-13,,경기 과천시 문원동 14-13,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EA%B3%BC%EC%B2%9C%EC%8B%9C%20%EB%AC%B8%EC%9B%90%EB%8F%99%2014-13,성공,,
58,,경기 고양시 덕양구 행주외동 508,경기 고양시 덕양구 행주외동 508,경기도 고양시 덕양구 행주외동 508,37.603993468118,126.815490818059,경기 고양시 덕양구 행주외동 508,,경기 고양시 덕양구 행주외동 508,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EA%B3%A0%EC%96%91%EC%8B%9C%20%EB%8D%95%EC%96%91%EA%B5%AC%20%ED%96%89%EC%A3%BC%EC%99%B8%EB%8F%99%20508,성공,,
59,,충남 계룡시 엄사면 광석리 74-5,충남 계룡시 엄사면 광석리 74-5,충청남도 계룡시 엄사면 광석리 74-5,36.2582116402466,127.228768856517,충남 계룡시 엄사면 광석리 74-5,,충남 계룡시 엄사면 광석리 74-5,https://map.naver.com/p/search/%EC%B6%A9%EC%B2%AD%EB%82%A8%EB%8F%84%20%EA%B3%84%EB%A3%A1%EC%8B%9C%20%EC%97%84%EC%82%AC%EB%A9%B4%20%EA%B4%91%EC%84%9D%EB%A6%AC%2074-5,성공,,
60,,강원 강릉시 연곡면 송림리 794-3,강원 강릉시 연곡면 송림리 794-3,강원특별자치도 강릉시 연곡면 송림리 794-3,37.8507757513258,128.801896657531,강원특별자치도 강릉시 연곡면 송림리 794-3,,강원특별자치도 강릉시 연곡면 송림리 794-3,https://map.naver.com/p/search/%EA%B0%95%EC%9B%90%ED%8A%B9%EB%B3%84%EC%9E%90%EC%B9%98%EB%8F%84%20%EA%B0%95%EB%A6%89%EC%8B%9C%20%EC%97%B0%EA%B3%A1%EB%A9%B4%20%EC%86%A1%EB%A6%BC%EB%A6%AC%20794-3,성공,,
61,,경기 포천시 신북면 삼성당리 473-10,경기 포천시 신북면 삼성당리 473-10,경기도 포천시 신북면 삼성당리 473-10,37.9634446643073,127.192773840145,경기 포천시 신북면 삼성당리 473-10,경기 포천시 신북면 포천로 2395,경기 포천시 신북면 삼성당리 473-10,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8F%84%20%ED%8F%AC%EC%B2%9C%EC%8B%9C%20%EC%8B%A0%EB%B6%81%EB%A9%B4%20%EC%82%BC%EC%84%B1%EB%8B%B9%EB%A6%AC%20473-10,성공,,
62,,전남 진도군 군내면 녹진리 2-9,전남 진도군 군내면 녹진리 2-9,전라남도 진도군 군내면 녹진리 2-9,,,,,,https://map.naver.com/p/search/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EC%A7%84%EB%8F%84%EA%B5%B0%20%EA%B5%B0%EB%82%B4%EB%A9%B4%20%EB%85%B9%EC%A7%84%EB%A6%AC%202-9,실패,검색결과 없음,
63,,경기 파주시 적성면 장현리 306,경기 파주시 적성면 장현리 306,경기도 파주시 적성면 장현리 306,37.9894847741218,126.977827196012,경기 파주시 적성면 장현리 306,,경기 파주시 적성면 장현리 306,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8F%84%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EC%A0%81%EC%84%B1%EB%A9%B4%20%EC%9E%A5%ED%98%84%EB%A6%AC%20306,성공,,
64,,전남 영암군 신북면 금수리 278-9,전남 영암군 신북면 금수리 278-9,전라남도 영암군 신북면 금수리 278-9,34.9234507497658,126.70602028494,전남 영암군 신북면 금수리 278-9,전남 영암군 신북면 예향로 2962,전남 영암군 신북면 금수리 278-9,https://map.naver.com/p/search/%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EC%98%81%EC%95%94%EA%B5%B0%20%EC%8B%A0%EB%B6%81%EB%A9%B4%20%EA%B8%88%EC%88%98%EB%A6%AC%20278-9,성공,,
65,,인천 동구 만석동 9-400,인천 동구 만석동 9-400,인천광역시 동구 만석동 9-400,37.4866265695917,126.621438632158,인천 동구 만석동 9-400,인천 동구 인중로 426,인천 동구 만석동 9-400,https://map.naver.com/p/search/%EC%9D%B8%EC%B2%9C%EA%B4%91%EC%97%AD%EC%8B%9C%20%EB%8F%99%EA%B5%AC%20%EB%A7%8C%EC%84%9D%EB%8F%99%209-400,성공,,
